theme,word,pos,zh,example,example_zh,cefr
"travel","depart","v.","出發；啟程","Our train is scheduled to depart from Platform 3 at 9:30 AM sharp.","我們的火車預定於早上 9 點半準時從三號月台出發。","B1"
"travel","visa","n.","簽證","If you plan to stay for three months, you will need to apply for a tourist visa.","如果您計畫停留三個月，您需要申請觀光簽證。","B1"
"travel","accommodation","n.","住宿；膳宿","We have arranged your accommodation near the conference center for the duration of the meeting.","我們已經安排好您在會議期間靠近會議中心的住宿。","B2"
"travel","arrival","n.","抵達；到達","Please check the monitor to confirm the estimated time of arrival for your connecting flight.","請查看螢幕以確認您轉機航班的預計抵達時間。","A2"
"travel","abroad","adv.","在國外；到國外","Many companies offer opportunities to work abroad for six months to gain valuable experience.","許多公司提供到國外工作六個月以獲取寶貴經驗的機會。","A2"
"travel","luggage","n.","行李","We need to check in our heavy luggage before going through security at the airport.","在通過機場安檢之前，我們需要托運我們沉重的行李。","B1"
"travel","book","v.","預訂","Did you remember to book the flights for our business conference next month?","你記得預訂我們下個月商務會議的機票了嗎？","A2"
"travel","destination","n.","目的地","Our final destination is Paris, but we have a short layover in Frankfurt.","我們的最終目的地是巴黎，但我們會在法蘭克福短暫停留。","B1"
"travel","confirm","v.","確認","Please confirm your reservation details by email before Friday morning.","請在週五早上之前透過電子郵件確認您的預訂詳情。","B1"
"travel","tourist","n.","觀光客","The area near the beach is very crowded with tourists during the summer season.","在夏季，海灘附近的地區擠滿了觀光客。","A2"
"travel","reservation","n.","預訂；訂位","I need to confirm my hotel reservation before leaving for the business trip next week.","下週出差前，我需要確認我的飯店預訂。","B1"
"travel","luggage","n.","行李","Please keep an eye on your luggage while waiting at the station.","在車站等候時，請留意您的行李。","A2"
"travel","itinerary","n.","旅遊行程；行程表","Our team reviewed the entire travel itinerary to make sure we didn't miss any important meetings.","我們的團隊審閱了整個旅遊行程，以確保我們沒有錯過任何重要的會議。","B2"
"travel","boarding pass","n.","登機證","You must show your boarding pass and ID at the gate before getting on the plane.","登機前，您必須在登機門出示您的登機證和證件。","B1"
"travel","destination","n.","目的地","What is your final destination after the connecting flight in Tokyo?","在東京轉機之後，您的最終目的地是哪裡？","B1"
"school","attendance","n.","出席；到場","Good attendance is required if you want to pass the advanced management course.","如果你想通過這個進階管理課程，則必須保持良好的出席率。","B1"
"school","assignment","n.","作業；任務","We have a challenging writing assignment due next Monday, so please start early.","我們有一份具挑戰性的寫作作業下週一截止，所以請提早開始。","A2"
"school","campus","n.","校園","The new science building will be located on the north side of the main campus.","新的科學大樓將會位於主校園的北側。","B1"
"school","enroll","v.","註冊；入學","You must enroll in your preferred electives before the deadline this Friday.","你必須在本週五截止日期前註冊你偏好的選修課。","B1"
"school","curriculum","n.","課程；課程總綱","The school updated its curriculum to include more practical digital skills training.","學校更新了其課程總綱，加入了更多實用的數位技能培訓。","B2"
"school","punctual","adj.","準時的","It is important to be punctual for every meeting, seminar, and presentation.","對於每一次會議、研討會和簡報來說，準時非常重要。","B1"
"school","grade","v.","評分","The professor spent the whole weekend grading the mid-term examinations for his large class.","這位教授花了一整個週末為他大班級學生的期中考試評分。","A2"
"school","lecture","n.","講座；授課","I found the guest speaker's lecture on global economic trends extremely interesting.","我覺得那位嘉賓講者關於全球經濟趨勢的講座極其有趣。","B1"
"school","scholarship","n.","獎學金","She applied for a scholarship to help cover the high tuition fees for graduate school.","她申請了獎學金，以幫助支付研究所高昂的學費。","B2"
"school","facility","n.","設施；設備","The university library facility offers 24-hour access to registered students during exam week.","大學圖書館設施在考試週期間向註冊學生提供 24 小時的服務。","B1"
"daily life","commute","v.","通勤","I usually commute by train, which takes about forty minutes every morning.","我通常搭火車通勤，每天早上大約需要四十分鐘。","B1"
"daily life","budget","n.","預算","We need to set a monthly budget to control our spending on groceries.","我們需要設定一個每月預算來控制我們的雜貨開支。","B1"
"daily life","receipt","n.","收據","Always keep your receipt in case you need to return the item later this week.","永遠保留你的收據，以防你本週稍後需要退貨。","A2"
"daily life","errand","n.","差事，跑腿","I have to run a few errands this afternoon, mainly grocery shopping and mailing a letter.","我今天下午必須跑幾個腿，主要是買菜和寄信。","B1"
"daily life","routine","n.","例行公事，慣例","Following a strict morning routine helps me start my day productively and on time.","遵守嚴格的早晨慣例有助於我高效率地準時開始一天。","A2"
"daily life","efficient","adj.","有效率的","The new manager is very efficient at organizing meetings and saving time.","新經理在組織會議和節省時間方面非常有效率。","B2"
"daily life","schedule","v.","安排，預定","I need to schedule a doctor's appointment before the end of next month.","我需要在下個月底前預定一個醫生的門診。","B1"
"daily life","affordable","adj.","負擔得起的","They are looking for a car that is both reliable and affordable for their family.","他們正在尋找一輛對他們家庭而言既可靠又負擔得起的汽車。","B1"
"daily life","deadline","n.","截止日期","Please make sure all job applications are submitted before the Friday deadline.","請確保所有工作申請都在週五截止日期前提交。","B1"
"daily life","appliance","n.","家用電器","Our washing machine, a major home appliance, broke down yesterday morning.","我們的主要家用電器——洗衣機，昨天早上壞了。","B2"
"travel","visa","n.","簽證","You need a valid entry visa before booking your flight to that country.","在預訂前往那個國家的航班前，你需要有效的入境簽證。","A2"
"travel","departure","n.","出發；離開","Please confirm your departure time and check the gate number on the monitor.","請確認您的出發時間，並查看螢幕上的登機門號碼。","B1"
"travel","luggage","n.","行李","We must ensure our checked luggage is under the weight limit specified by the airline.","我們必須確保我們的托運行李在航空公司規定的重量限制內。","A2"
"travel","reservation","n.","預訂","Do you have a reservation under the name Johnson for a double room tonight?","您今晚是否有以約翰遜（Johnson）的名字預訂雙人房？","B1"
"travel","destination","n.","目的地","Our final destination for the business trip is the main office in Tokyo.","我們這次商務旅行的最終目的地是位於東京的總辦公室。","B1"
"travel","check in","v.","報到；辦理入住手續","We need to check in at the hotel before 5 PM because the front desk closes early.","我們需要在下午五點前到飯店辦理入住手續，因為櫃台會提早關閉。","A2"
"travel","exchange rate","n.","匯率","Check the current exchange rate before you decide to convert a large amount of money.","在你決定兌換大量現金之前，請先查看目前的匯率。","B1"
"travel","delay","n.","延誤","Due to unexpected maintenance, there was a two-hour flight delay this morning.","由於突發的維護作業，今天早上的航班延誤了兩個小時。","B1"
"travel","amenities","n.","設施；便利設備","The resort offers excellent amenities, including a gym, spa, and free laundry service.","這間度假村提供極好的設施，包括健身房、水療中心和免費洗衣服務。","B2"
"travel","sightseeing","n.","觀光","We plan to spend the afternoon sightseeing around the historical monuments in the city center.","我們計劃花費下午的時間在市中心的歷史古蹟周圍觀光。","B1"
"daily life","laundry","n.","待洗衣物；洗衣","I need to separate the white clothes from the colored ones before starting the laundry.","開始洗衣服前，我需要將白色衣物和彩色衣物分開。","B1"
"daily life","appointment","n.","預約；約定","Please call the dental office to reschedule your morning appointment for next week.","請致電牙科診所，將您早上的預約改期到下週。","B1"
"daily life","exhausted","adj.","精疲力盡的","After working twelve hours straight, the delivery driver felt completely exhausted.","連續工作十二小時後，這位送貨司機感到徹底精疲力盡。","B2"
"daily life","notification","n.","通知；告知","I often turn off social media notifications so I can focus on my studies.","我經常關閉社交媒體通知，這樣我才能專注於我的學業。","B2"
"daily life","budget","n.","預算","We need to stick to our monthly budget if we want to save enough money for the trip.","如果我們想存夠錢去旅行，我們就需要堅持我們的每月預算。","A2"
"travel","luggage","n.","行李","Please make sure your carry-on luggage fits under the seat or in the overhead compartment.","請確認您的隨身行李能放在座位下方或頭頂置物櫃中。","A2"
"travel","reservation","n.","預訂；預約","I need to confirm my hotel reservation for three nights before the end of the day.","我需要在今天結束前確認我三晚的飯店預訂。","B1"
"travel","destination","n.","目的地","Our final destination is Paris, but we have a short layover in Frankfurt.","我們的最終目的地是巴黎，但我們會在法蘭克福短暫停留。","B1"
"travel","check in","v.","辦理登機手續；入住","We must check in online 24 hours before our flight to choose our seats.","我們必須在航班起飛前 24 小時在線辦理登機以選擇座位。","A2"
"travel","accommodations","n.","住宿","Finding suitable accommodations near the conference center was challenging this year.","今年要在會議中心附近找到合適的住宿很有挑戰性。","B2"
"school","schedule","n.","課表；計畫表","Please check the course schedule before deciding which classes to take next semester.","請在決定下學期修哪門課之前檢查一下課程表。","B1"
"school","subject","n.","科目","My favorite subject in middle school was science because I enjoy doing experiments.","我在國中時最喜歡的科目是自然科學，因為我喜歡做實驗。","A2"
"school","campus","n.","校園","The college campus is very large, so students often ride bicycles between buildings.","這座大學校園非常大，所以學生經常騎自行車往返於建築物之間。","B1"
"school","participate","v.","參與","Students should actively participate in group projects to improve teamwork skills.","學生應該積極參與小組專案，以提升團隊合作技能。","B2"
"school","assignment","n.","作業；任務","The history teacher gave us a challenging research assignment due next Friday morning.","歷史老師給了我們一項具挑戰性的研究作業，下週五早上截止。","B1"
"work","salary","n.","薪水","The company offers a competitive salary and excellent benefits to new hires.","這間公司提供有競爭力的薪水和優渥的福利給新進員工。","B1"
"work","meeting","n.","會議","We need to set up a quick meeting to discuss the project deadline tomorrow morning.","我們需要設定一個快速會議，來討論明天早上的專案截止日期。","A2"
"work","apply","v.","申請；應用","If you want the management position, you must apply before the end of the month.","如果你想要這個管理職位，你必須在本月底前申請。","B1"
"work","efficient","adj.","效率高的","Using the new software makes the whole team much more efficient at processing data.","使用新軟體使整個團隊處理數據的效率更高。","B2"
"work","schedule","n.","行程表；計畫表","Check your work schedule to make sure you know when your shift starts next week.","檢查你的工作行程表，確認你下週的輪班是何時開始。","A2"
"health","recover","v.","康復；恢復","I need a few days to fully recover from the flu before going back to work.","我需要幾天時間從流感中完全康復，然後才能回去工作。","A2"
"health","symptom","n.","症狀","If you have a fever or sore throat, those are common symptoms of the cold.","如果你有發燒或喉嚨痛，這些是感冒的常見症狀。","B1"
"health","nutrition","n.","營養","Good nutrition is essential for maintaining high energy levels throughout the day.","良好的營養對於維持一整天的高能量水平至關重要。","B2"
"health","stressful","adj.","壓力大的","Managing a busy project schedule can be very stressful for the whole team.","管理一個繁忙的專案時間表對整個團隊來說壓力會非常大。","B1"
"health","injury","n.","受傷；傷害","The doctor confirmed that the sports injury required weeks of physical therapy.","醫生證實這項運動傷害需要數週的物理治療。","B1"
"small talk","commute","n.","通勤；上下班路程","My morning commute was terrible today because of the heavy rain.","我的早晨通勤因為大雨而糟透了。","B1"
"small talk","catch up","v.","敘舊；交流近況","Let's grab coffee soon to catch up on what you have been doing recently.","我們找個時間喝咖啡，聊聊你最近在忙些什麼。","B1"
"small talk","manage","v.","處理；應對","How are you managing the transition to the new remote work schedule?","你如何應對轉變為新的遠距工作時間表？","B1"
"small talk","miserable","adj.","悲慘的；陰鬱的 (常形容天氣)","The weather has been absolutely miserable, making me want to stay inside all day.","天氣一直很陰鬱，讓我一整天都想待在室內。","B2"
"small talk","update","n.","最新消息；進展報告","Could you give me a quick update on the progress of the current marketing campaign?","你能快速地告訴我目前行銷活動的進度嗎？","B1"
"daily life","schedule","n.","行程表；計劃","I need to check my weekly schedule to see if I have time for a dental appointment.","我需要查看我的每週行程表，確認是否有時間去看牙醫。","B1"
"daily life","errand","n.","差事；跑腿","Could you please run a quick errand to the post office before lunch?","你能在午飯前幫我跑一趟郵局嗎？","B1"
"daily life","appliance","n.","電器；設備","Our washing machine, which is a key household appliance, broke down yesterday.","我們的洗衣機，這個重要的家用電器，昨天壞掉了。","B1"
"daily life","exhausted","adj.","筋疲力盡的","After working 10 hours straight, I felt completely exhausted and went straight to bed.","連續工作 10 小時後，我感到筋疲力盡，直接上床睡覺了。","A2"
"daily life","commute","v.","通勤","Since moving outside the city, I now commute almost two hours every day.","自從搬到市區外，我現在每天通勤將近兩個小時。","B2"
"travel","reservation","n.","預訂；預約","I called the hotel to confirm my reservation for the two-night business trip.","我打電話給飯店確認我兩晚商務旅行的預訂。","B1"
"travel","destination","n.","目的地","Our final destination for the summer vacation is a quiet, remote island.","我們暑假旅行的最終目的地是一個安靜偏遠的島嶼。","A2"
"travel","boarding pass","n.","登機證","You must show your boarding pass and photo ID when you get to the security checkpoint.","抵達安全檢查站時，您必須出示登機證和附照片的證件。","B1"
"travel","pack","v.","打包；裝箱","Remember to pack warm clothes because the weather at night will be cold.","記得打包保暖衣物，因為晚上的天氣會很冷。","A2"
"travel","sightseeing","n.","觀光；遊覽","We plan to spend the first day of our trip sightseeing and visiting historical spots.","我們計劃在旅行的第一天進行觀光並參觀歷史景點。","B1"
"school","subject","n.","科目；學科","My favorite subject in high school was history, but I struggled with math.","我高中最喜歡的科目是歷史，但我數學很吃力。","A2"
"school","prepare","v.","準備","Students need to prepare for the final presentation which is scheduled for next week.","學生需要為下週預定的期末報告做準備。","A2"
"school","assignment","n.","作業；任務","Please submit the writing assignment to the online portal before midnight on Friday.","請在週五午夜前，將寫作作業提交至線上平台。","B1"
"school","campus","n.","校園","The university campus is large, so they provide regular shuttle bus services.","這座大學校園很大，所以他們提供定期的接駁車服務。","B1"
"school","mandatory","adj.","必修的；強制性的","Attendance at the orientation workshop is mandatory for all new employees and interns.","所有新員工和實習生都必須強制參加迎新研討會。","B2"
"daily life","routine","n.","例行事務；常規","My morning routine includes jogging for 30 minutes before having breakfast.","我的晨間例行事務包括慢跑 30 分鐘，然後吃早餐。","B1"
"daily life","grocery","n.","雜貨；食品","I need to stop by the supermarket after work to pick up some groceries.","我下班後需要順道去超市買些雜貨。","A2"
"daily life","convenient","adj.","方便的","Having a laundromat near my apartment is very convenient for washing large items.","公寓附近有自助洗衣店，對洗大件物品來說非常方便。","B1"
"daily life","budget","n.","預算","We have to stick to a strict monthly budget to save money for our vacation.","我們必須嚴守每月的預算，才能為我們的假期存錢。","B2"
"daily life","appointment","n.","預約；會面","Please call the dentist's office to confirm your appointment for tomorrow morning.","請致電牙醫診所，確認你明天早上的預約。","B1"
"travel","luggage","n.","行李","Please make sure your checked luggage is labeled clearly before you drop it off.","在您托運行李之前，請確保您的托運行李貼有清晰的標籤。","A2"
"travel","reserve","v.","預訂；保留","We need to reserve a window seat for the long flight to Tokyo next month.","下個月飛往東京的長途航班，我們需要預訂一個靠窗的座位。","B1"
"travel","destination","n.","目的地","Bali is a popular tourist destination because of its beautiful beaches and temples.","峇里島是一個受歡迎的旅遊目的地，因為它有美麗的海灘和寺廟。","B1"
"travel","currency","n.","貨幣","You should check the exchange rate before converting your local currency into US dollars.","在將您的當地貨幣兌換成美元之前，您應該先查看匯率。","B2"
"travel","confirm","v.","確認","Did you confirm your flight schedule and hotel check-in time yesterday?","您昨天確認了您的航班時刻表和飯店入住時間了嗎？","B1"
"school","schedule","n.","課程表；日程","I checked my class schedule to see which room the math lecture was in this morning.","我查看了我的課表，確認今天早上數學課在哪個教室。","A2"
"school","enroll","v.","註冊；入學","You must enroll in the advanced coding course before the registration period ends next week.","您必須在下週註冊期限結束前報名參加這個進階編程課程。","B1"
"school","deadline","n.","截止日期","The professor reminded us that the deadline for submitting the final paper is midnight on Friday.","教授提醒我們，提交期末報告的截止日期是週五午夜。","B1"
"school","uniform","n.","制服","All students at the middle school are required to wear a dark blue uniform every day.","這所中學的所有學生都被要求每天穿著深藍色制服。","A2"
"school","participate","v.","參與；參加","The best way to improve your English speaking skills is to actively participate in class discussions.","提高英語口語能力的最佳方法是積極參與課堂討論。","B2"
"work","task","n.","任務；工作事項","I need to complete this specific task before leaving the office today.","我需要在今天離開辦公室前完成這個特定的任務。","A2"
"work","schedule","v.","安排；排定時間","Please schedule a meeting with the overseas client next Tuesday morning.","請安排一個下週二早上的會議與海外客戶見面。","B1"
"work","salary","n.","薪水；月薪","Many applicants consider the starting salary when applying for a new engineering job.","許多申請者在應徵新的工程職位時會考慮起薪。","B1"
"work","position","n.","職位","She applied for a management position in the marketing department last week.","她上週申請了行銷部門的一個管理職位。","B2"
"work","achieve","v.","達成；實現","We must work together as a team to achieve our quarterly sales goals.","我們必須以團隊形式合作，才能達成我們的季度銷售目標。","B1"
"daily life","groceries","n.","雜貨；食品","I need to pick up some groceries at the supermarket after work today.","我今天下班後需要去超市採購一些雜貨。","B1"
"daily life","apologize","v.","道歉","Please apologize to your neighbor for making so much noise late last night.","請向你的鄰居道歉，因為你昨晚太晚發出很多噪音。","A2"
"daily life","laundry","n.","待洗衣物；洗衣服","I usually do my laundry every Sunday morning to prepare for the coming week.","我通常在每個週日早上洗衣服，為接下來的一週做準備。","B1"
"daily life","exhausted","adj.","筋疲力盡的","After working twelve hours straight, the manager was completely exhausted.","連續工作十二小時後，經理完全筋疲力盡了。","B2"
"daily life","schedule","n.","行程表；時間表","Check the class schedule to see which lecture room we should go to next.","確認一下課程表，看看我們接下來應該去哪個演講廳。","A2"
"travel","passport","n.","護照","Don't forget to bring your passport when you travel abroad.","出國旅行時別忘了帶護照。","A2"
"travel","reservation","n.","預訂；預約","Please confirm the flight reservation details before we finalize the payment.","在我們確認付款前，請先確認航班預訂的細節。","B1"
"travel","destination","n.","目的地","Our final destination on this business trip is Milan, Italy.","這次出差我們最終的目的是義大利米蘭。","B1"
"travel","depart","v.","啟程；離開","The bus will depart from Gate 5 in ten minutes, so please hurry up.","巴士將在十分鐘後從五號門啟程，請加快腳步。","B1"
"travel","currency","n.","貨幣","You should exchange some local currency before leaving the airport tomorrow.","你應該在明天離開機場前兌換一些當地貨幣。","B2"
"school","schedule","n.","課表；行程表","I need to check my class schedule before registering for the afternoon course.","在註冊下午的課程之前，我需要查看我的課表。","B1"
"school","subject","n.","科目","My favorite subject this semester is history because the professor is very engaging.","我這學期最喜歡的科目是歷史，因為教授非常引人入勝。","A2"
"school","attend","v.","出席；參加","If you attend every lecture, you will likely understand the material better.","如果你出席每一場講座，你可能會更好地理解教材。","A2"
"school","principal","n.","校長","The school principal announced that the summer vacation will start two weeks earlier.","校長宣布暑假將提早兩週開始。","B1"
"school","uniform","n.","制服","All high school students must wear the standard school uniform every day.","所有高中生每天都必須穿著標準的學校制服。","B1"
"work","meeting","n.","會議","The team needs to schedule a meeting to discuss the new marketing strategy.","團隊需要安排一次會議來討論新的行銷策略。","A2"
"work","apply","v.","申請","I decided to apply for the position because I have the required skills.","我決定申請這個職位，因為我具備所需技能。","B1"
"work","deadline","n.","截止日期","We must finish the presentation before the project deadline next Friday.","我們必須在下週五的專案截止日期前完成簡報。","B1"
"work","colleague","n.","同事","I asked my colleague for help with the complex spreadsheet data.","我向我的同事尋求協助處理複雜的試算表資料。","B2"
"work","report","n.","報告","Please submit the weekly progress report to the manager by noon today.","請在今天中午前將每週進度報告提交給經理。","A2"
"health","recover","v.","恢復；康復","It might take him a few days to fully recover from the flu and return to the office.","他可能需要幾天才能從流感中完全恢復並回到辦公室。","B1"
"health","symptom","n.","症狀","If you experience any severe symptoms, please call the emergency hotline immediately.","如果您遇到任何嚴重症狀，請立即撥打緊急熱線。","B1"
"health","nutritious","adj.","營養豐富的","Eating a variety of nutritious foods is essential for maintaining a strong immune system.","食用各種營養豐富的食物對於維持強健的免疫系統至關重要。","B2"
"health","maintain","v.","維持；保持","The key to long-term wellness is to consistently maintain healthy habits.","長期健康安適的關鍵是持續保持健康的習慣。","A2"
"health","diagnosis","n.","診斷","We are waiting for the laboratory results before the doctor can confirm the final diagnosis.","我們正在等待實驗室結果，之後醫生才能確認最終的診斷。","B2"
"small talk","catch up","v.","敘舊；交流近況","Let's grab coffee next week to catch up on everything we missed.","下週我們找個時間喝咖啡，聊聊我們錯過的所有事情吧。","B1"
"small talk","chilly","adj.","寒冷的；涼颼颼的","It's quite chilly outside today, so you might need a heavy coat.","今天外面很冷，所以你可能需要一件厚外套。","B1"
"small talk","update","n.","最新消息；進展","Do you have an update on the budget proposal that we discussed yesterday?","關於我們昨天討論的預算提案，你有最新消息嗎？","A2"
"small talk","hobby","n.","嗜好；業餘愛好","Asking about someone's hobby is a good way to start a relaxed conversation.","詢問某人的嗜好是開始輕鬆對話的好方法。","A2"
"small talk","definitely","adv.","肯定地；當然","I definitely agree that the new project deadline should be extended until Friday.","我完全同意新專案的截止日期應該延到週五。","B1"
"daily life","organize","v.","組織；整理","I need to organize my desk before starting the new project next week.","下週開始新專案前，我需要整理一下我的書桌。","B1"
"daily life","appointment","n.","預約；約會","Do you have an appointment with the dentist this afternoon, or should we reschedule?","你今天下午有預約看牙醫嗎？還是我們應該改期？","B1"
"daily life","exhausted","adj.","筋疲力盡的","After working twelve hours straight, the delivery driver felt completely exhausted.","連續工作十二小時後，這位送貨司機感到筋疲力盡。","A2"
"daily life","prioritize","v.","優先處理","You must prioritize the most urgent tasks before moving on to the smaller details.","在處理小細節之前，你必須優先處理最緊急的任務。","B2"
"daily life","groceries","n.","食品雜貨","We usually buy groceries every Sunday afternoon to prepare for the coming week.","我們通常在每個週日下午採買食品雜貨，為接下來的一週做準備。","B1"
"travel","luggage","n.","行李","Please make sure your carry-on luggage fits under the seat or in the overhead compartment.","請確保您的隨身行李能放在座位下方或頭頂置物櫃中。","A2"
